images,x1,y1,x2,y2
image_0001.png,56,119,82,383
image_0002.png,57,132,37,378
image_0003.png,61,175,81,384
image_0004.png,53,179,32,381
image_0005.png,50,120,81,383
image_0006.png,63,120,32,386
image_0007.png,44,143,83,383
image_0008.png,64,151,32,384
image_0009.png,65,186,80,384
image_0010.png,56,174,37,381
image_0011.png,53,134,63,375
image_0012.png,65,142,34,383
image_0013.png,52,122,79,385
image_0014.png,62,122,33,368
image_0015.png,52,132,79,379
image_0016.png,69,126,45,368
image_0017.png,58,107,83,382
image_0018.png,58,102,34,381
image_0019.png,38,118,78,383
image_0020.png,75,117,32,384
image_0021.png,48,134,80,383
image_0022.png,60,126,26,383
image_0023.png,61,154,72,366
image_0024.png,61,139,33,369
image_0025.png,55,104,75,383
image_0026.png,64,106,23,383
image_0027.png,56,109,76,382
image_0028.png,55,116,29,384
image_0029.png,57,150,69,373
image_0030.png,65,153,38,383
image_0031.png,62,141,77,381
image_0032.png,52,137,30,382
image_0033.png,41,141,81,382
image_0034.png,59,137,31,383
image_0035.png,60,158,83,384
image_0036.png,61,160,34,384
image_0037.png,63,138,75,386
image_0038.png,56,134,28,381
image_0039.png,60,138,74,382
image_0040.png,58,136,26,383
image_0041.png,71,156,72,368
image_0042.png,58,157,37,379
image_0043.png,56,134,77,384
image_0044.png,56,129,25,380
image_0045.png,62,135,79,383
image_0046.png,64,125,28,380
image_0047.png,54,138,78,381
image_0048.png,61,138,38,381
image_0049.png,60,151,85,385
image_0050.png,54,157,33,385
image_0051.png,57,153,82,382
image_0052.png,57,151,39,380
image_0053.png,66,138,61,365
image_0054.png,56,130,33,366
image_0055.png,59,147,83,381
image_0056.png,55,153,30,383
image_0057.png,45,135,70,382
image_0058.png,64,142,38,371
image_0059.png,72,138,72,386
image_0060.png,49,141,22,364
image_0061.png,53,137,77,369
image_0062.png,65,141,38,384
image_0063.png,70,134,72,382
image_0064.png,57,152,31,378
image_0065.png,57,118,85,382
image_0066.png,66,122,33,369
image_0067.png,46,129,77,382
image_0068.png,55,135,40,377
image_0069.png,58,118,77,384
image_0070.png,63,119,28,382
image_0071.png,60,121,70,383
image_0072.png,54,127,34,382
image_0073.png,58,119,76,381
image_0074.png,61,122,35,381
image_0075.png,72,144,77,377
image_0076.png,57,134,31,383
image_0077.png,67,167,74,384
image_0078.png,46,161,26,372
image_0079.png,58,118,76,383
image_0080.png,57,137,33,365
image_0081.png,57,130,73,385
image_0082.png,60,122,34,374
image_0083.png,60,140,74,369
